PLAYER,SEASON,TEAM,X,Y,SHOT_MADE,PLAYOFFS,MVP,Champion
Kevin Durant,2007-08,SEA,-6.1,20.75,0,0,0,0
Kevin Durant,2007-08,SEA,-3.8,15.75,1,0,0,0
Kevin Durant,2007-08,SEA,5.2,22.15,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,6.4,23.95,0,0,0,0
Kevin Durant,2007-08,SEA,1.5,20.75,0,0,0,0
Kevin Durant,2007-08,SEA,14.3,10.35,0,0,0,0
Kevin Durant,2007-08,SEA,-11.3,27.15,0,0,0,0
Kevin Durant,2007-08,SEA,0.3,21.25,0,0,0,0
Kevin Durant,2007-08,SEA,18.7,22.15,0,0,0,0
Kevin Durant,2007-08,SEA,3.5,11.95,0,0,0,0
Kevin Durant,2007-08,SEA,-14.1,4.15,0,0,0,0
Kevin Durant,2007-08,SEA,19.5,20.35,0,0,0,0
Kevin Durant,2007-08,SEA,-9.0,29.95,1,0,0,0
Kevin Durant,2007-08,SEA,-11.8,26.95,0,0,0,0
Kevin Durant,2007-08,SEA,20.9,22.65,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,13.0,20.25,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,2.6,9.55,0,0,0,0
Kevin Durant,2007-08,SEA,-3.8,32.25,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-16.3,25.65,0,0,0,0
Kevin Durant,2007-08,SEA,-12.5,25.85,0,0,0,0
Kevin Durant,2007-08,SEA,-2.3,12.35,1,0,0,0
Kevin Durant,2007-08,SEA,1.3,10.35,0,0,0,0
Kevin Durant,2007-08,SEA,-17.9,21.85,0,0,0,0
Kevin Durant,2007-08,SEA,4.1,8.05,1,0,0,0
Kevin Durant,2007-08,SEA,-0.1,11.35,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-2.6,17.75,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-11.8,28.55,0,0,0,0
Kevin Durant,2007-08,SEA,6.9,21.65,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-1.8,14.15,0,0,0,0
Kevin Durant,2007-08,SEA,22.0,20.55,0,0,0,0
Kevin Durant,2007-08,SEA,12.6,27.65,1,0,0,0
Kevin Durant,2007-08,SEA,-16.4,10.85,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,21.4,19.75,0,0,0,0
Kevin Durant,2007-08,SEA,-8.0,21.05,0,0,0,0
Kevin Durant,2007-08,SEA,13.5,15.45,0,0,0,0
Kevin Durant,2007-08,SEA,7.2,8.85,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,17.6,19.55,0,0,0,0
Kevin Durant,2007-08,SEA,0.6,16.45,0,0,0,0
Kevin Durant,2007-08,SEA,-7.7,20.05,1,0,0,0
Kevin Durant,2007-08,SEA,-4.4,9.25,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-11.8,22.55,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-17.4,10.15,0,0,0,0
Kevin Durant,2007-08,SEA,-11.3,24.65,0,0,0,0
Kevin Durant,2007-08,SEA,-9.0,21.05,0,0,0,0
Kevin Durant,2007-08,SEA,24.0,11.35,0,0,0,0
Kevin Durant,2007-08,SEA,-11.3,27.25,0,0,0,0
Kevin Durant,2007-08,SEA,-11.7,18.05,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,13.6,26.45,0,0,0,0
Kevin Durant,2007-08,SEA,0.8,27.65,0,0,0,0
Kevin Durant,2007-08,SEA,-15.8,14.35,1,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-13.6,21.55,0,0,0,0
Kevin Durant,2007-08,SEA,-8.4,29.45,0,0,0,0
Kevin Durant,2007-08,SEA,-2.6,10.65,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-14.6,19.25,0,0,0,0
Kevin Durant,2007-08,SEA,-12.0,24.45,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,1,0,0,0
Kevin Durant,2007-08,SEA,-23.0,8.75,0,0,0,0
Kevin Durant,2007-08,SEA,14.1,19.85,0,0,0,0
Kevin Durant,2007-08,SEA,-0.0,5.25,0,0,0,0
Kevin Durant,2007-08,SEA,-23.3,6.95,1,0,0,0
Kevin Durant,2007-08,SEA,-22.3,7.25,1,0,0,0
Kevin Durant,2007-08,SEA,-23.3,11.35,0,0,0,0
Kevin Durant,2007-08,SEA,-19.7,19.85,1,0,0,0
