PLAYER,SEASON,TEAM,X,Y,SHOT_MADE,PLAYOFFS,MVP,Champion, Highlight_desc, Highlight_gif
Kobe Bryant,1996-97,LAL,-0.0,5.25,1,0,0,0
Kobe Bryant,1996-97,LAL,15.3,15.85,0,0,0,0
Kobe Bryant,1996-97,LAL,-0.6,29.85,0,0,0,0
Kobe Bryant,1996-97,LAL,23.3,6.55,1,0,0,0
Kobe Bryant,1996-97,LAL,17.7,12.35,1,0,0,0
Kobe Bryant,1996-97,LAL,-14.6,22.95,0,0,0,0
Kobe Bryant,1996-97,LAL,-16.8,19.75,0,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,0,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,0,0,0,0
Kobe Bryant,1996-97,LAL,-5.3,17.95,1,0,0,0
Kobe Bryant,1996-97,LAL,17.7,20.75,0,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,1,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,1,0,0,0
Kobe Bryant,1996-97,LAL,-14.0,6.55,1,0,0,0
Kobe Bryant,1996-97,LAL,11.6,26.45,0,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,1,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,1,0,0,0
Kobe Bryant,1996-97,LAL,14.4,26.25,0,0,0,0
Kobe Bryant,1996-97,LAL,13.1,6.25,0,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,1,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,1,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,0,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,1,0,0,0
Kobe Bryant,1996-97,LAL,-18.1,12.35,0,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,1,0,0,0
Kobe Bryant,1996-97,LAL,14.0,10.85,1,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,0,0,0,0
Kobe Bryant,1996-97,LAL,-17.9,21.05,1,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,1,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,0,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,1,0,0,0
Kobe Bryant,1996-97,LAL,-0.0,5.25,0,0,0,0
Kobe Bryant,1996-97,LAL,8.8,5.15,1,0,0,0
Kobe Bryant,1996-97,LAL,14.6,9.55,0,0,0,0
